track,artist,charted,energy,tempo,speechiness,danceability,mode,key,liveness,valence,loudness,time_signature,duration_ms,acousticness,instrumentalness
All Falls Down (feat. Juliander),Alan Walker,False,,,,,,,,,,,,,
I Got You,Bebe Rexha,False,,,,,,,,,,,,,
Don't,Bryson Tiller,False,,,,,,,,,,,,,
What I Got,Sublime,False,,,,,,,,,,,,,
Always,Saliva,False,,,,,,,,,,,,,
Cum on Feel the Noize,Quiet Riot,False,,,,,,,,,,,,,
Holy Diver,Dio,False,,,,,,,,,,,,,
Nightmare,Avenged Sevenfold,False,,,,,,,,,,,,,
I Was Made For Lovin' You,KISS,False,,,,,,,,,,,,,
Up Around The Bend,Hanoi Rocks,False,,,,,,,,,,,,,
I Was Made For Lovin' You,KISS,False,,,,,,,,,,,,,
Brave,Sara Bareilles,False,,,,,,,,,,,,,
Tongue Tied,Grouplove,False,,,,,,,,,,,,,
U Smile,Justin Bieber,False,,,,,,,,,,,,,
Lovebug,Jonas Brothers,False,,,,,,,,,,,,,
3005,Childish Gambino,False,,,,,,,,,,,,,
National Anthem,Lana Del Rey,False,,,,,,,,,,,,,
Call Your Girlfriend,Robyn,False,,,,,,,,,,,,,
Something I Need,OneRepublic,False,,,,,,,,,,,,,
Everything You Want,Vertical Horizon,False,,,,,,,,,,,,,
The Reeling,Passion Pit,False,,,,,,,,,,,,,
Shine,Collective Soul,False,,,,,,,,,,,,,
Come Away With Me,Norah Jones,False,,,,,,,,,,,,,
Chill Out (Things Gonna Change),John Lee Hooker,False,,,,,,,,,,,,,
My Propeller,Arctic Monkeys,False,,,,,,,,,,,,,
I Wanna Be Yours,Arctic Monkeys,False,,,,,,,,,,,,,
My Way (feat. Monty),Fetty Wap,False,,,,,,,,,,,,,
Help Me Lose My Mind,Disclosure,False,,,,,,,,,,,,,
The City,Madeon,False,,,,,,,,,,,,,
Jingo,Candido,False,,,,,,,,,,,,,
Who Says,Selena Gomez & The Scene,False,,,,,,,,,,,,,
Gotta Find You,Joe Jonas,False,,,,,,,,,,,,,
Animal Rights,deadmau5,False,,,,,,,,,,,,,
Animal,Miike Snow,False,,,,,,,,,,,,,
Your Love Is a Lie,Simple Plan,False,,,,,,,,,,,,,
Love Drunk,Boys Like Girls,False,,,,,,,,,,,,,
The Last Fight,Bullet For My Valentine,False,,,,,,,,,,,,,
The Needle And The Damage Done,Neil Young,False,,,,,,,,,,,,,
Nearly Lost You,Screaming Trees,False,,,,,,,,,,,,,
Out There,Dinosaur Jr.,False,,,,,,,,,,,,,
The Dolphin's Cry,Live,False,,,,,,,,,,,,,
OMG (feat. Quavo),Camila Cabello,False,,,,,,,,,,,,,
Do Not Disturb,Drake,False,,,,,,,,,,,,,
Self Care,Mac Miller,False,,,,,,,,,,,,,
Redbone,Childish Gambino,False,,,,,,,,,,,,,
I Might Need Security,Chance the Rapper,False,,,,,,,,,,,,,
Mushaboom,Feist,False,,,,,,,,,,,,,
Just Like Honey,The Jesus and Mary Chain,False,,,,,,,,,,,,,
Don't Know Why,Norah Jones,False,,,,,,,,,,,,,
On My Own,Samantha Barks,False,,,,,,,,,,,,,
No Frauds,Nicki Minaj,False,,,,,,,,,,,,,
