track,artist,charted,energy,tempo,speechiness,danceability,mode,key,liveness,valence,loudness,time_signature,duration_ms,acousticness,instrumentalness
When a Man Loves a Woman,Michael Bolton,True,,,,,,,,,,,,,
Russian Roulette,Rihanna,True,,,,,,,,,,,,,
You'll Be In My Heart,Phil Collins,True,,,,,,,,,,,,,
Mandy,Barry Manilow,True,,,,,,,,,,,,,
We Can't Stop,Miley Cyrus,True,,,,,,,,,,,,,
If You Leave Me Now,Chicago,True,,,,,,,,,,,,,
Never Too Much,Luther Vandross,True,,,,,,,,,,,,,
Addicted To You,Avicii,True,,,,,,,,,,,,,
Grease,Frankie Valli,True,,,,,,,,,,,,,
I Try,Macy Gray,True,,,,,,,,,,,,,
Chain Gang,Sam Cooke,True,,,,,,,,,,,,,
Ben,Michael Jackson,True,,,,,,,,,,,,,
I Need A Dollar,Aloe Blacc,True,,,,,,,,,,,,,
Private Number,William Bell,True,,,,,,,,,,,,,
If I Ain't Got You,Alicia Keys,True,,,,,,,,,,,,,
Sunrise,Norah Jones,True,,,,,,,,,,,,,
Where Is the Love,Roberta Flack,True,,,,,,,,,,,,,
Treat Her Like A Lady,The Temptations,True,,,,,,,,,,,,,
To Love Somebody,Nina Simone,True,,,,,,,,,,,,,
Dancing On The Ceiling,Lionel Richie,True,,,,,,,,,,,,,
Lovely Day,Bill Withers,True,,,,,,,,,,,,,
War,Edwin Starr,True,,,,,,,,,,,,,
Upside Down,Diana Ross,True,,,,,,,,,,,,,
Same Old Song,Four Tops,True,,,,,,,,,,,,,
Tell Me 'Bout It,Joss Stone,True,,,,,,,,,,,,,
Turn Your Love Around,George Benson,True,,,,,,,,,,,,,
I Wish,Stevie Wonder,True,,,,,,,,,,,,,
Knock on Wood,Otis Redding,True,,,,,,,,,,,,,
22,Taylor Swift,True,,,,,,,,,,,,,
It Was Always You,Maroon 5,True,,,,,,,,,,,,,
Drop It Like It's Hot,Snoop Dogg,True,,,,,,,,,,,,,
Dear Darlin',Olly Murs,True,,,,,,,,,,,,,
Take Back the Night,Justin Timberlake,True,,,,,,,,,,,,,
One More Night,Maroon 5,True,,,,,,,,,,,,,
Bonfire Heart,James Blunt,True,,,,,,,,,,,,,
Geronimo,Sheppard,True,,,,,,,,,,,,,
Big Pimpin',JAY-Z,True,,,,,,,,,,,,,
Temperature,Sean Paul,True,,,,,,,,,,,,,
Let Her Go,Passenger,True,,,,,,,,,,,,,
Rack City,Tyga,True,,,,,,,,,,,,,
Still into You,Paramore,True,,,,,,,,,,,,,
Marilyn Monroe,Pharrell Williams,True,,,,,,,,,,,,,
Viva La Vida,Coldplay,True,,,,,,,,,,,,,
Better Together,Jack Johnson,True,,,,,,,,,,,,,
Don't Wanna Go Home,Jason Derulo,True,,,,,,,,,,,,,
I Cry,Flo Rida,True,,,,,,,,,,,,,
Bulletproof,La Roux,True,,,,,,,,,,,,,
I Remember,Kaskade,True,,,,,,,,,,,,,
Witchcraft,Pendulum,True,,,,,,,,,,,,,
Miami 2 Ibiza,Swedish House Mafia,True,,,,,,,,,,,,,
Jumping All Over The World,Scooter,True,,,,,,,,,,,,,
Champagne Showers,LMFAO,True,,,,,,,,,,,,,
Out Of Space,The Prodigy,True,,,,,,,,,,,,,
Don't Stop,ATB,True,,,,,,,,,,,,,
Flashback,Calvin Harris,True,,,,,,,,,,,,,
Clarity,Zedd,True,,,,,,,,,,,,,
Played-A-Live (The Bongo Song),Safri Duo,True,,,,,,,,,,,,,
The Whistle Song,DJ Aligator,True,,,,,,,,,,,,,
Under Control (feat. Hurts),Calvin Harris,True,,,,,,,,,,,,,
Fire,Ferry Corsten,True,,,,,,,,,,,,,
Fly Away,Vincent de Moor,True,,,,,,,,,,,,,
Paradise,Coldplay,True,,,,,,,,,,,,,
Sunday Morning,Maroon 5,True,,,,,,,,,,,,,
Fire,Kasabian,True,,,,,,,,,,,,,
The Only Exception,Paramore,True,,,,,,,,,,,,,
Born To Die,Lana Del Rey,True,,,,,,,,,,,,,
Don't Speak,No Doubt,True,,,,,,,,,,,,,
The Mother We Share,CHVRCHES,True,,,,,,,,,,,,,
Supermassive Black Hole,Muse,True,,,,,,,,,,,,,
Fluorescent Adolescent,Arctic Monkeys,True,,,,,,,,,,,,,
Club Foot,Kasabian,True,,,,,,,,,,,,,
